Station,Cast,Depth,Nitrite,Niskin,Bottle,Month,Date,Year,TimeS,Latitude,Longitude,PrDM,DepSM,Sigma,Sal00,T090C,CStarAt0,FlECO-AFL,Par,Sbeox0Mm/L
PS2,29,30,0,24,24,Jan,2,2000,10848.417,15.76666,-104.99978,32.933,32.736,23.1313,34.5722,24.6317,0.3344,0.2682,1.00E-12,221.476
PS2,29,50,0,23,23,2-Jan,2,2000,10620.75,15.76668,-104.99982,53.471,53.149,23.5929,34.4609,22.7729,0.3827,1.8823,1.00E-12,207.453
PS2,29,60,0.62,22,22,2-Jan,2,2000,10423.25,15.76668,-104.99982,63.231,62.85,24.2528,34.4562,20.368,0.3391,1.3554,1.00E-12,78.041
PS2,29,70,0.16,21,21,2-Jan,2,2000,10240.208,15.76668,-104.9998,73.32,72.876,24.533,34.4987,19.4233,0.3176,0.9368,1.00E-12,54.924
PS2,29,100,0,18,18,2-Jan,2,2000,9671.25,15.76668,-104.99982,103.705,103.069,25.757,34.7365,15.069,0.3251,1.3309,1.00E-12,4.14
PS2,29,150,1.36,17,17,2-Jan,2,2000,9433.458,15.76668,-104.99982,153.64,152.679,26.2704,34.7907,12.8224,0.3026,0.0972,1.00E-12,4.072
PS2,29,200,1.51,16,16,2-Jan,2,2000,9195.542,15.7667,-104.9998,205.049,203.741,26.4316,34.7668,11.902,0.2987,-0.0266,1.00E-12,4.08
PS2,29,260,1.5,15,15,2-Jan,2,2000,8966.333,15.7667,-104.9998,264.884,263.158,26.5425,34.7323,11.1682,0.296,-0.0224,1.00E-12,4.149
PS2,29,300,1,14,14,2-Jan,2,2000,8741.042,15.76668,-104.9998,304.744,302.729,26.6298,34.6906,10.5022,0.2932,-0.0026,1.00E-12,4.252
PS2,29,350,0.55,13,13,2-Jan,2,2000,8427.917,15.76668,-104.9998,354.997,352.607,26.6899,34.6621,10.031,0.2921,-0.0062,1.00E-12,4.452
PS2,29,400,0.29,12,12,2-Jan,2,2000,8178.542,15.76668,-104.9998,405.459,402.679,26.7557,34.6368,9.5255,0.2919,-0.002,1.00E-12,4.726
PS2,29,450,0,11,11,2-Jan,2,2000,7936.417,15.7667,-104.9998,455.844,452.664,26.8407,34.6033,8.8402,0.2914,-0.0086,1.00E-12,4.889
PS2,29,500,0,10,10,2-Jan,2,2000,7699.167,15.76668,-104.9998,506.247,502.655,26.907,34.5819,8.3083,0.2901,-0.0092,1.00E-12,5.126
PS2,29,550,0,9,9,2-Jan,2,2000,7434.083,15.7667,-104.99982,556.961,552.941,26.9792,34.5648,7.7371,0.29,-0.0068,1.00E-12,5.431
PS2,29,600,0,8,8,2-Jan,2,2000,7164.708,15.7667,-104.9998,606.978,602.525,27.0393,34.5547,7.2643,0.289,-0.005,1.00E-12,5.668
PS2,29,800,0,7,7,2-Jan,2,2000,6686.083,15.76667,-104.99982,808.854,802.531,27.2388,34.5433,5.6951,0.2889,-0.0104,1.00E-12,6.493
PS2,29,900,0,6,6,2-Jan,2,2000,6397.167,15.76668,-104.99981,909.473,902.147,27.3193,34.5443,5.0291,0.2933,-0.0068,1.00E-12,9.673
PS2,29,1000,0,5,5,1-Jan,1,2000,6120.5,15.76668,-104.9998,1010.071,1001.694,27.3786,34.5531,4.5688,0.2945,-0.008,1.00E-12,17.226
PS2,29,1250,0,4,4,1-Jan,1,2000,5675.875,15.76668,-104.99978,1265.714,1254.454,27.4853,34.5764,3.7409,0.2934,-0.0062,1.00E-12,35.685
PS2,29,1500,0,3,3,1-Jan,1,2000,5159.625,15.76668,-104.9998,1519.21,1504.791,27.5676,34.6028,3.1156,0.2933,-0.008,1.00E-12,55.24
PS2,29,2000,0,2,2,1-Jan,1,2000,4448.75,15.76668,-104.9998,2027.119,2005.48,27.6822,34.6461,2.2164,0.2901,-0.0445,1.00E-12,96.649
PS2,29,2900,0.01,1,1,1-Jan,1,2000,3379.167,15.76669,-104.9998,2942.17,2904.575,27.7436,34.673,1.7739,0.2877,-0.0559,1.00E-12,129.465
PS2,30,2,0,12,12,Mar,27,2018,3184.25,15.76666,-104.9998,4.237,4.212,21.7962,34.1808,27.9473,0.387,4.78E-01,3.42E-02,199.591
PS2,30,55,0.01,11,11,Mar,27,2018,3037.125,15.76666,-104.99982,55.14,54.808,23.6261,34.4593,22.6525,0.4449,4.79E+00,3.27E-02,198.134
PS2,30,65,0.58,10,10,Mar,27,2018,2856.833,15.76666,-104.99982,65.074,64.681,24.1135,34.4323,20.821,0.4148,4.01E+00,3.08E-02,90.275
PS2,30,75,0.13,9,9,Mar,27,2018,2635.292,15.76666,-104.99982,75.059,74.604,24.6399,34.485,18.9646,0.3746,1.96E+00,2.96E-02,47.992
PS2,30,80,0.13,8,8,Mar,27,2018,2454.208,15.76665,-104.99982,79.927,79.441,24.7461,34.4816,18.5338,0.3674,1.87E+00,2.82E-02,46.201
PS2,30,90,0.06,7,7,Mar,27,2018,2270.125,15.76666,-104.99982,89.634,89.087,25.2761,34.6294,16.8187,0.3561,1.19E+00,2.67E-02,5.211
PS2,30,130,0.54,6,6,Mar,27,2018,2008.458,15.76666,-104.99982,130.005,129.2,26.0634,34.771,13.7633,0.3677,1.69E+00,2.48E-02,-0.979
PS2,30,180,2.19,5,5,Mar,27,2018,1774.833,15.76668,-104.99984,180.476,179.336,26.3364,34.8057,12.5502,0.3581,4.00E-01,2.41E-02,-1.005
PS2,30,220,1.67,4,4,Mar,27,2018,1521.708,15.76666,-104.9998,220.666,219.251,26.4353,34.7681,11.8901,0.3538,3.64E-01,2.38E-02,-0.924
PS2,30,260,1.74,3,3,Mar,27,2018,1236.917,15.7667,-104.99984,261.175,259.475,26.509,34.739,11.379,0.3508,3.66E-01,2.36E-02,-0.959
PS2,30,280,1.61,2,2,Mar,27,2018,993.458,15.76666,-104.9998,282.435,280.582,26.5369,34.735,11.2124,0.3488,3.62E-01,2.38E-02,-0.789
PS2,30,300,1.45,1,1,Mar,27,2018,736.125,15.76668,-104.99982,303.8,301.792,26.5803,34.7135,10.8822,0.3481,3.60E-01,2.58E-02,0.005
PS2,35,120,0.84,10,10,Mar,28,2018,2450.667,15.76666,-104.99982,120.21,119.469,26.1035,34.793,13.6501,0.3683,1.59E+00,3.39E-02,-0.885
PS2,35,150,1.9,9,9,Mar,28,2018,2224.083,15.76666,-104.99978,150.233,149.295,26.3042,34.7884,12.6416,0.3586,4.52E-01,2.58E-02,-0.688
PS2,35,160,2,8,8,Mar,28,2018,2015.875,15.76664,-104.9998,161.088,160.078,26.3267,34.7875,12.5247,0.3594,4.08E-01,2.48E-02,-0.93
PS2,35,180,2.6,7,7,Mar,28,2018,1788.458,15.76666,-104.9998,181.082,179.938,26.3711,34.7954,12.3312,0.3579,3.57E-01,2.43E-02,-0.908
PS2,35,200,2,6,6,Mar,28,2018,1557.25,15.76665,-104.9998,200.661,199.384,26.4134,34.7754,12.0325,0.3568,3.42E-01,2.38E-02,-0.915
PS2,35,210,2.1,5,5,Mar,28,2018,1371.292,15.76666,-104.99981,211.733,210.38,26.4415,34.762,11.8313,0.355,3.43E-01,2.38E-02,-0.636
PS2,35,220,2.21,4,4,Mar,28,2018,1141.125,15.76662,-104.9998,220.774,219.358,26.4533,34.7577,11.7515,0.3543,3.44E-01,2.38E-02,-0.772
PS2,35,230,1.97,3,3,Mar,28,2018,871.583,15.76664,-104.9998,231.92,230.427,26.4686,34.7547,11.6593,0.3528,3.45E-01,2.46E-02,-0.611
PS2,35,250,2.39,2,2,Mar,28,2018,616.042,15.76666,-104.99979,254.43,252.777,26.5096,34.7386,11.3734,0.3532,3.38E-01,2.74E-02,-0.274
